# tiempo [s], press [mBar] 
0.0, 0.0253 
1.2715084552764893, 0.0253 
2.554021120071411, 0.0253 
3.836534023284912, 0.0253 
5.110043048858643, 0.0253 
6.3925559520721436, 0.0253 
7.665064811706543, 0.0657 
8.947577476501465, 0.0674 
10.231091022491455, 0.0674 
11.503599643707275, 165.0 
12.786112546920776, 356.0 
14.068625211715698, 17.6 
15.341134071350098, 7.34 
16.62364673614502, 4.25 
17.89615559577942, 2.69 
19.17866849899292, 1.94 
20.461181163787842, 1.45 
21.73369002342224, 1.11 
23.016202688217163, 0.905 
24.299715995788574, 0.744 
25.572224617004395, 0.629 
26.854737520217896, 0.552 
28.137250423431396, 0.482 
29.391752004623413, 0.424 
30.678266286849976, 0.382 
31.97878646850586, 0.344 
33.25129508972168, 0.31 
34.53380799293518, 0.278 
35.8083176612854, 0.26 
37.09083032608032, 0.243 
38.36333918571472, 0.227 
39.64585208892822, 0.213 
40.928364753723145, 0.2 
42.200873613357544, 0.188 
43.484386682510376, 0.174 
44.767900228500366, 0.165 
46.04040884971619, 0.155 
47.32292175292969, 0.148 
48.59543037414551, 0.14 
49.87894368171692, 0.132 
51.16145634651184, 0.124 
52.43396520614624, 0.117 
53.71647787094116, 0.113 
54.99999117851257, 0.109 
56.27250003814697, 0.106 
57.555012941360474, 0.103 
58.828521966934204, 0.0994 
60.111034870147705, 0.0962 
61.39354753494263, 0.0939 
62.666056394577026, 0.0907 
63.94856929779053, 0.0881 
65.23208236694336, 0.0855 
66.50459122657776, 0.0835 
67.78710389137268, 0.0809 
69.05961298942566, 0.078 
70.34212565422058, 0.0751 
71.6246383190155, 0.073 
72.8971471786499, 0.0709 
74.1796600818634, 0.0693 
75.4621729850769, 0.0674 
76.73468160629272, 0.0655 
78.01719450950623, 0.0645 
79.29970717430115, 0.063 
80.57221603393555, 0.0612 
81.85472893714905, 0.0599 
83.13724160194397, 0.0589 
84.40975046157837, 0.0572 
85.69226312637329, 0.0562 
86.97477602958679, 0.0549 
88.24728465080261, 0.0537 
89.52979755401611, 0.0526 
90.81231045722961, 0.0518 
92.08481907844543, 0.0512 
93.36733198165894, 0.0499 
94.64984464645386, 0.0489 
95.92235374450684, 0.0481 
97.20486640930176, 0.0475 
98.48737907409668, 0.0472 
99.76088833808899, 0.0467 
101.04340124130249, 0.046 
102.31591010093689, 0.0455 
103.59842276573181, 0.0452 
104.88093566894531, 0.0445 
106.1594467163086, 0.0441 
107.4419596195221, 0.0437 
108.71446824073792, 0.0432 
109.99698114395142, 0.0431 
111.26949000358582, 0.0425 
112.55200266838074, 0.0425 
113.83451557159424, 0.042 
115.10702443122864, 0.0417 
116.38953733444214, 0.0414 
117.67204999923706, 0.041 
118.94555926322937, 0.0404 
120.22807192802429, 0.0404 
121.5105848312378, 0.0404 
122.78309369087219, 0.0397 
124.06560635566711, 0.0396 
125.34911966323853, 0.0397 
126.62162828445435, 0.0389 
127.90414118766785, 0.0388 
129.18665385246277, 0.0389 
130.45916295051575, 0.0382 
131.7416753768921, 0.0381 
133.0241882801056, 0.0382 
134.29669737815857, 0.0377 
135.5792100429535, 0.0374 
136.861722946167, 0.0376 
138.13420844078064, 0.0376 
139.41645288467407, 0.037 
140.69869709014893, 0.0369 
141.97394037246704, 0.0369 
143.25618481636047, 0.0369 
144.52842712402344, 0.0364 
145.81067156791687, 0.0362 
147.09291625022888, 0.0362 
148.36515855789185, 0.0362 
149.64740300178528, 0.0362 
150.91964530944824, 0.0362 
152.20188999176025, 0.0361 
153.4841344356537, 0.0356 
154.75637674331665, 0.0354 
156.03862118721008, 0.0354 
157.32086539268494, 0.0354 
158.59310817718506, 0.0356 
159.8753526210785, 0.0353 
161.15759682655334, 0.0349 
162.4298393726349, 0.0348 
163.71208381652832, 0.0348 
164.99432826042175, 0.0348 
166.2665708065033, 0.0349 
167.54881501197815, 0.0349 
168.83105945587158, 0.0348 
170.10330200195312, 0.0344 
171.38554644584656, 0.0341 
172.66779088974, 0.0342 
173.94103336334229, 0.0341 
175.22327780723572, 0.0341 
176.5075228214264, 0.0341 
177.77976512908936, 0.0341 
179.0620095729828, 0.0341 
180.33425188064575, 0.0341 
181.61649656295776, 0.0341 
182.8987410068512, 0.0341 
184.17098331451416, 0.0341 
185.4532277584076, 0.0338 
186.73547220230103, 0.0334 
188.00771474838257, 0.0334 
189.289959192276, 0.0334 
190.57220339775085, 0.0333 
191.8444459438324, 0.0334 
193.1266906261444, 0.0334 
194.40893483161926, 0.033 
195.6811773777008, 0.0328 
196.96342158317566, 0.0328 
198.2456660270691, 0.0326 
199.5179088115692, 0.0326 
200.80015301704407, 0.0326 
202.0823974609375, 0.0326 
203.35463976860046, 0.0326 
204.6368842124939, 0.0322 
205.9191288948059, 0.0321 
207.19137120246887, 0.032 
208.4736156463623, 0.032 
209.75585985183716, 0.032 
211.02810263633728, 0.032 
212.31734824180603, 0.0318 
213.58959078788757, 0.0314 
214.87183499336243, 0.0313 
216.14407777786255, 0.0313 
217.42632222175598, 0.0313 
218.70856642723083, 0.0313 
219.98080897331238, 0.0313 
221.2630534172058, 0.0313 
222.54529786109924, 0.0313 
223.8175404071808, 0.0314 
225.09978461265564, 0.0313 
226.38202905654907, 0.0313 
227.65427160263062, 0.0313 
228.93651604652405, 0.0313 
230.21876049041748, 0.0313 
231.49100279808044, 0.0312 
232.77324724197388, 0.0309 
234.0554919242859, 0.0307 
235.32773423194885, 0.0307 
236.60997867584229, 0.0307 
237.89222288131714, 0.0307 
239.1654658317566, 0.0307 
240.44771027565002, 0.0307 
241.719952583313, 0.0306 
243.00219702720642, 0.0302 
244.28444123268127, 0.0302 
245.5566840171814, 0.0302 
246.83892846107483, 0.0302 
248.12317299842834, 0.0302 
249.3954155445099, 0.0302 
250.6776602268219, 0.0302 
251.94990253448486, 0.0302 
253.23314714431763, 0.0302 
254.51539134979248, 0.0302 
255.78763389587402, 0.0302 
257.06987857818604, 0.0302 
258.3521227836609, 0.0302 
259.62436532974243, 0.0301 
260.9066095352173, 0.0298 
262.1788523197174, 0.0297 
263.46109676361084, 0.0297 
264.7433409690857, 0.0297 
266.01558351516724, 0.0297 
267.29982829093933, 0.0298 
268.58207273483276, 0.0297 
269.8543152809143, 0.0298 
271.13655948638916, 0.0297 
272.4088020324707, 0.0297 
273.6910467147827, 0.0297 
274.973876953125, 0.0297 
276.24764227867126, 0.0297 
277.52940607070923, 0.0298 
278.8021719455719, 0.0296 
280.08393573760986, 0.0295 
281.36669921875, 0.0294 
282.6224682331085, 0.0293 
283.91723012924194, 0.0293 
285.2019934654236, 0.0293 
286.47775864601135, 0.0293 
287.7575237751007, 0.0293 
289.02928948402405, 0.0293 
290.3080544471741, 0.0293 
291.5848197937012, 0.0293 
292.86858320236206, 0.0293 
294.1403489112854, 0.0293 
295.4191138744354, 0.0293 
296.70087790489197, 0.0293 
297.9776430130005, 0.0293 
299.2574076652527, 0.0292 
300.5331733226776, 0.0292 
301.81193804740906, 0.029 
303.0987014770508, 0.0289 
304.3754668235779, 0.0289 
305.6552314758301, 0.029 
306.9319965839386, 0.0289 
308.2067623138428, 0.0289 
309.4895257949829, 0.0289 
310.7672908306122, 0.0289 
312.0370578765869, 0.0289 
313.3248209953308, 0.0289 
314.5935878753662, 0.0289 
315.8773512840271, 0.0289 
317.15711641311646, 0.0289 
318.43688106536865, 0.0289 
319.7106468677521, 0.0289 
320.9874119758606, 0.0289 
322.27217531204224, 0.0289 
323.551940202713, 0.0289 
324.8247060775757, 0.0288 
326.10047125816345, 0.0288 
327.38423466682434, 0.0287 
328.6590003967285, 0.0287 
329.94176387786865, 0.0287 
331.2205288410187, 0.0284 
332.4952943325043, 0.0284 
333.77905797958374, 0.0284 
335.05582308769226, 0.0284 
336.33358812332153, 0.0284 
337.6093535423279, 0.0284 
338.88711857795715, 0.0284 
340.1638836860657, 0.0284 
341.44564867019653, 0.0284 
342.7194149494171, 0.0284 
344.0011796951294, 0.0284 
345.2799446582794, 0.0284 
346.55471110343933, 0.0284 
347.8374755382538, 0.0284 
349.11824011802673, 0.0284 
350.3890070915222, 0.0284 
351.66977167129517, 0.0284 
352.951536655426, 0.0284 
354.23730063438416, 0.0284 
355.5010690689087, 0.0284 
356.7838337421417, 0.0283 
358.06459856033325, 0.0281 
359.3453633785248, 0.028 
360.6181299686432, 0.0279 
361.8998944759369, 0.028 
363.1726610660553, 0.0279 
364.458425283432, 0.0279 
365.7311918735504, 0.0279 
367.00595808029175, 0.0279 
368.28972268104553, 0.028 
369.56448888778687, 0.028 
370.8472535610199, 0.028 
372.1210198402405, 0.0279 
373.40678429603577, 0.0279 
374.6845500469208, 0.028 
375.9593164920807, 0.028 
377.24208092689514, 0.0279 
378.5158474445343, 0.0279 
379.7916135787964, 0.0279 
381.0763781070709, 0.0279 
382.34714579582214, 0.0278 
383.63291001319885, 0.0278 
384.9036777019501, 0.0276 
386.18244338035583, 0.0276 
387.4622092247009, 0.0276 
388.7389762401581, 0.0276 
390.0267405509949, 0.0276 
391.30350637435913, 0.0276 
392.58227252960205, 0.0276 
393.85204005241394, 0.0276 
395.1308059692383, 0.0276 
396.4125716686249, 0.0276 
397.6903374195099, 0.0276 
398.9691035747528, 0.0276 
400.2508692741394, 0.0276 
401.52363634109497, 0.0276 
402.80540204048157, 0.0276 
404.0841679573059, 0.0276 
405.35893535614014, 0.0276 
406.64070081710815, 0.0276 
407.9234662055969, 0.0276 
409.19423389434814, 0.0276 
410.4789981842041, 0.0276 
411.7497658729553, 0.0276 
413.0375301837921, 0.0275 
414.307297706604, 0.0273 
415.5850636959076, 0.0272 
416.8648293018341, 0.0272 
418.1465950012207, 0.0272 
419.4253611564636, 0.0272 
420.70612692832947, 0.0272 
421.9778940677643, 0.0272 
423.25766015052795, 0.0272 
424.53542590141296, 0.0272 
425.81519174575806, 0.0271 
427.09695744514465, 0.0272 
428.3697249889374, 0.0272 
429.64649176597595, 0.0272 
430.93125796318054, 0.0272 
432.20502519607544, 0.0272 
433.48679089546204, 0.0272 
434.76655673980713, 0.0272 
436.04232382774353, 0.0272 
437.3160910606384, 0.0272 
438.597856760025, 0.0272 
439.8806223869324, 0.0272 
441.15538930892944, 0.0272 
442.43715500831604, 0.0272 
443.7059237957001, 0.0272 
444.98868918418884, 0.0272 
446.2624566555023, 0.0271 
447.5452220439911, 0.0269 
448.82798743247986, 0.0269 
450.1027548313141, 0.0269 
451.376522064209, 0.0267 
452.65528869628906, 0.0267 
453.9320557117462, 0.0267 
455.21682119369507, 0.0267 
456.49558782577515, 0.0266 
457.76835536956787, 0.0267 
459.0541203022003, 0.0267 
460.32889676094055, 0.0267 
461.6036639213562, 0.0267 
462.8814308643341, 0.027 
464.1681957244873, 0.0276 
465.44496273994446, 0.0276 
466.7177312374115, 0.0276 
467.99949765205383, 0.0276 
469.27726459503174, 0.0276 
470.55703139305115, 0.0273 
471.82879972457886, 0.0272 
473.109566450119, 0.0272 
474.3863334655762, 0.0272 
475.66510009765625, 0.0272 
476.94686675071716, 0.0272 
478.2266330718994, 0.0272 
479.5024013519287, 0.0272 
480.7821681499481, 0.0272 
482.0629343986511, 0.0272 
483.3347029685974, 0.0272 
484.62046933174133, 0.0272 
485.8962371349335, 0.0272 
487.17900371551514, 0.0272 
488.4497718811035, 0.0272 
489.73353838920593, 0.0272 
491.00730657577515, 0.0272 
492.29007291793823, 0.0272 
493.5648410320282, 0.0272 
494.8466076850891, 0.0272 
496.123375415802, 0.0272 
497.3991434574127, 0.0272 
498.67691135406494, 0.0272 
499.9626772403717, 0.0272 
501.2384452819824, 0.0272 
502.5132133960724, 0.0272 
503.7889814376831, 0.0272 
505.07474756240845, 0.0272 
506.34951663017273, 0.0272 
507.6272842884064, 0.0272 
508.90205240249634, 0.0272 
510.17982029914856, 0.0272 
511.4655864238739, 0.0272 
512.741354227066, 0.0272 
514.0191221237183, 0.0272 
515.294890165329, 0.0272 
516.5756576061249, 0.0272 
517.8544254302979, 0.0271 
519.1361927986145, 0.0272 
520.4089620113373, 0.0272 
521.6867296695709, 0.0272 
522.9654972553253, 0.0272 
524.2462646961212, 0.0272 
525.524032831192, 0.0272 
526.8028004169464, 0.0272 
528.0845677852631, 0.0272 
529.3573369979858, 0.0272 
530.6381044387817, 0.0272 
531.9238715171814, 0.0272 
533.1936409473419, 0.0272 
534.4754083156586, 0.0272 
535.7551758289337, 0.0272 
537.0259454250336, 0.0272 
538.3057131767273, 0.0272 
539.5884802341461, 0.0274 
540.8622493743896, 0.0273 
542.1480164527893, 0.0275 
543.4197857379913, 0.0276 
544.7045528888702, 0.0276 
545.9793217182159, 0.0276 
547.2620892524719, 0.0276 
548.5378580093384, 0.0276 
549.8146266937256, 0.0276 
551.0903956890106, 0.0276 
552.3681643009186, 0.0276 
553.6529314517975, 0.0276 
554.9287004470825, 0.0276 
556.2064690589905, 0.0276 
557.4812378883362, 0.0276 
558.7690050601959, 0.0276 
560.0447738170624, 0.0276 
561.3205437660217, 0.0276 
562.5953125953674, 0.0276 
563.8770809173584, 0.0276 
565.1548495292664, 0.0278 
566.4306185245514, 0.0279 
567.7103869915009, 0.028 
568.9951541423798, 0.0279 
570.271922826767, 0.0279 
571.5506916046143, 0.028 
572.826461315155, 0.0279 
574.1072700023651, 0.0279 
575.3882241249084, 0.028 
576.6671781539917, 0.0279 
577.9361326694489, 0.0279 
579.2160863876343, 0.028 
580.4970405101776, 0.028 
581.7789945602417, 0.0282 
583.0529489517212, 0.0284 
584.3349030017853, 0.0284 
585.607857465744, 0.0284 
586.8888115882874, 0.0284 
588.1707656383514, 0.0284 
589.4447197914124, 0.0284 
590.7276737689972, 0.0284 
592.0016281604767, 0.0284 
593.2835822105408, 0.0284 
594.5675361156464, 0.0286 
595.8424906730652, 0.0288 
597.1154448986053, 0.0287 
598.4003989696503, 0.0289 
599.6743533611298, 0.0295 
600.9583072662354, 0.0302 
602.2342617511749, 0.0302 
603.5162162780762, 0.0302 
604.7921707630157, 0.0302 
606.0651249885559, 0.03 
607.3510792255402, 0.0302 
608.6270332336426, 0.0302 
609.9009878635406, 0.0302 
611.1819422245026, 0.0302 
612.4578967094421, 0.0302 
613.7438507080078, 0.0302 
615.0228049755096, 0.0302 
616.30175948143, 0.0302 
617.5767142772675, 0.0302 
618.8546686172485, 0.0302 
620.135623216629, 0.0302 
621.4135775566101, 0.0302 
622.6935319900513, 0.0302 
623.9654865264893, 0.0302 
625.2434413433075, 0.0302 
626.5253958702087, 0.0302 
627.8043501377106, 0.0302 
629.0853044986725, 0.0302 
630.3582594394684, 0.0302 
631.6392138004303, 0.0302 
632.9141683578491, 0.0302 
634.2011222839355, 0.0303 
635.4790766239166, 0.0306 
636.7530314922333, 0.0307 
638.0349857807159, 0.0307 
639.3099408149719, 0.0307 
640.5908951759338, 0.0325 
641.8718495368958, 0.0328 
643.1518039703369, 0.0328 
644.4217586517334, 0.0326 
645.7017130851746, 0.0328 
646.9856672286987, 0.0328 
648.2576222419739, 0.0328 
649.5395765304565, 0.0328 
650.816531419754, 0.0326 
652.1004858016968, 0.0328 
653.3724405765533, 0.0328 
654.6573948860168, 0.0326 
655.9313497543335, 0.0326 
657.2143042087555, 0.0326 
658.4882590770721, 0.0328 
659.7712135314941, 0.0328 
661.0451681613922, 0.0326 
662.321123123169, 0.0328 
663.6060774326324, 0.034 
664.8810322284698, 0.0348 
666.1579871177673, 0.0348 
667.4369418621063, 0.0341 
668.7158966064453, 0.0341 
669.9968514442444, 0.0342 
671.2778062820435, 0.0341 
672.5557610988617, 0.0341 
673.8327157497406, 0.0341 
675.1096711158752, 0.0341 
676.3866257667542, 0.0341 
677.6645805835724, 0.0354 
678.9445354938507, 0.0354 
680.2254900932312, 0.0354 
681.5004453659058, 0.0356 
682.7814002037048, 0.0356 
684.0613548755646, 0.0354 
685.3413100242615, 0.0354 
686.624264717102, 0.0356 
687.8972198963165, 0.0356 
689.1731750965118, 0.0354 
690.4561297893524, 0.0358 
691.731085062027, 0.0369 
693.0150396823883, 0.037 
694.2899949550629, 0.0365 
695.5719497203827, 0.0362 
696.8459050655365, 0.0362 
698.1278598308563, 0.0366 
699.4058151245117, 0.0381 
700.6867699623108, 0.0376 
701.9597251415253, 0.0376 
703.2446799278259, 0.0376 
704.521635055542, 0.0376 
705.7955901622772, 0.0374 
707.0715453624725, 0.0388 
708.3565001487732, 0.0389 
709.6364552974701, 0.0382 
710.9144115447998, 0.0382 
712.1933665275574, 0.0382 
713.4693217277527, 0.0386 
714.7472770214081, 0.0396 
716.027232170105, 0.0396 
717.3001873493195, 0.0396 
718.5871422290802, 0.039 
719.8640975952148, 0.0394 
721.1430525779724, 0.0404 
722.420007944107, 0.0402 
723.6989629268646, 0.0404 
724.9759182929993, 0.0404 
726.2538733482361, 0.0409 
727.5308284759521, 0.0412 
728.8087837696075, 0.041 
730.088739156723, 0.041 
731.3656942844391, 0.041 
732.6506493091583, 0.0424 
733.9306044578552, 0.0425 
735.2025601863861, 0.0422 
736.482515335083, 0.0425 
737.7654707431793, 0.0437 
739.0354263782501, 0.0439 
740.323380947113, 0.0439 
741.5943367481232, 0.0439 
742.8752918243408, 0.0432 
744.1492474079132, 0.044 
745.4312024116516, 0.0445 
746.7141578197479, 0.0445 
747.9881134033203, 0.0445 
749.2700686454773, 0.0443 
750.5430240631104, 0.0452 
751.8289794921875, 0.0452 
753.1019351482391, 0.0452 
754.3838901519775, 0.0455 
755.65984582901, 0.0459 
756.9348013401031, 0.046 
758.2177567481995, 0.0459 
759.4917123317719, 0.0465 
760.7746675014496, 0.0467 
762.048623085022, 0.0467 
763.3315784931183, 0.0464 
764.6105341911316, 0.0473 
765.8864898681641, 0.0472 
767.1704449653625, 0.0467 
768.4494004249573, 0.0479 
769.7263562679291, 0.0481 
771.0013117790222, 0.0481 
772.2792673110962, 0.0473 
773.5592229366302, 0.0487 
774.8391788005829, 0.0489 
776.1171343326569, 0.0489 
777.3960897922516, 0.0483 
778.677045583725, 0.0499 
779.9560010433197, 0.0501 
781.2369565963745, 0.0499 
782.5079126358032, 0.0499 
783.7888684272766, 0.0512 
785.0618243217468, 0.0501 
786.3407797813416, 0.0501 
787.6217353343964, 0.0501 
788.9006907939911, 0.0522 
790.1816465854645, 0.0522 
791.4606022834778, 0.0522 
792.7405579090118, 0.0524 
794.0125138759613, 0.0533 
795.2934694290161, 0.0535 
796.5694253444672, 0.0533 
797.8493809700012, 0.0533 
799.1253371238708, 0.0543 
800.4082925319672, 0.0555 
801.691248178482, 0.0555 
802.9632043838501, 0.0555 
804.2431597709656, 0.0564 
805.5191156864166, 0.0576 
806.8030714988708, 0.0576 
808.0780274868011, 0.0576 
809.3609828948975, 0.0576 
810.6359391212463, 0.0597 
811.9188945293427, 0.0599 
813.193850517273, 0.0599 
814.4738066196442, 0.0599 
815.7477626800537, 0.061 
817.0337183475494, 0.0614 
818.307674407959, 0.061 
819.5896298885345, 0.061 
820.861585855484, 0.0626 
822.146541595459, 0.0624 
823.42249751091, 0.062 
824.7024528980255, 0.0628 
825.9754090309143, 0.0632 
827.2533650398254, 0.0632 
828.5383205413818, 0.0637 
829.811276435852, 0.0643 
831.0972321033478, 0.0643 
832.3731882572174, 0.0643 
833.6471440792084, 0.0643 
834.9300999641418, 0.0643 
836.2070558071136, 0.0643 
837.482011795044, 0.0643 
838.7639677524567, 0.0643 
840.0399239063263, 0.0653 
841.3178796768188, 0.0653 
842.6018354892731, 0.073 
843.8777914047241, 0.0839 
845.1617469787598, 0.0923 
846.4367029666901, 0.0965 
847.7136590480804, 0.101 
848.9936151504517, 0.101 
850.2695710659027, 0.1 
851.5535264015198, 0.102 
852.829482793808, 0.102 
854.1094386577606, 0.103 
855.3843946456909, 0.104 
856.662350654602, 0.105 
857.9483060836792, 0.104 
859.2242619991302, 0.102 
860.5032181739807, 0.102 
861.7831740379333, 0.0994 
863.05513048172, 0.0968 
864.3350865840912, 0.0965 
865.6130425930023, 0.0942 
866.8919987678528, 0.0936 
868.1719546318054, 0.0907 
869.4459109306335, 0.092 
870.7278671264648, 0.0933 
872.0118231773376, 0.0923 
873.2817795276642, 0.092 
874.5607793331146, 0.0907 
875.8418192863464, 0.0894 
877.1238594055176, 0.0887 
878.3978996276855, 0.0874 
879.6749401092529, 0.0861 
880.9599807262421, 0.0852 
882.2390205860138, 0.0839 
883.5110607147217, 0.0826 
884.7961010932922, 0.0822 
886.0771412849426, 0.0803 
887.3491811752319, 0.0793 
888.6262218952179, 0.0774 
889.916262626648, 0.0761 
891.1913032531738, 0.0745 
892.4673433303833, 0.0734 
893.7433838844299, 0.072 
895.0214242935181, 0.0709 
896.3054647445679, 0.0703 
897.5805051326752, 0.0697 
898.864545583725, 0.0686 
900.1385865211487, 0.0676 
901.4166271686554, 0.0666 
902.692667722702, 0.0661 
903.9707081317902, 0.0653 
905.2557485103607, 0.0645 
906.5327892303467, 0.0643 
907.8098297119141, 0.063 
909.0868699550629, 0.0628 
910.3649108409882, 0.062 
911.6459517478943, 0.0612 
912.9269926548004, 0.0605 
914.2060332298279, 0.0599 
915.4770739078522, 0.0589 
916.762115240097, 0.0587 
918.0421559810638, 0.0578 
919.3201966285706, 0.0578 
920.6002376079559, 0.0568 
921.8702781200409, 0.0568 
923.1523189544678, 0.0568 
924.4333598613739, 0.0555 
925.7104012966156, 0.0555 
926.9924423694611, 0.0545 
928.2644829750061, 0.0543 
929.5515246391296, 0.0541 
930.8225650787354, 0.0533 
932.1036062240601, 0.0535 
933.3846471309662, 0.0522 
934.66068816185, 0.0522 
935.9447293281555, 0.0522 
937.2167711257935, 0.0518 
938.495813369751, 0.0512 
939.7758548259735, 0.0512 
941.0548963546753, 0.051 
942.3329377174377, 0.0501 
943.6139795780182, 0.0501 
944.8910222053528, 0.0501 
946.1670641899109, 0.0499 
947.4501056671143, 0.0491 
948.7301471233368, 0.0489 
950.0041890144348, 0.0491 
951.2832305431366, 0.0489 
952.5642721652985, 0.0483 
953.8463153839111, 0.0481 
955.1243577003479, 0.0481 
956.3943991661072, 0.0481 
957.6744406223297, 0.0483 
958.9544823169708, 0.0473 
960.2305243015289, 0.0473 
961.5115661621094, 0.0473 
