# tiempo [s], press [mBar] 
0.0, 1000.0 
1.2797951698303223, 1000.0 
2.5595903396606445, 1000.0 
3.8293869495391846, 1000.0 
5.109182119369507, 1000.0 
6.388977289199829, 1000.0 
7.6687726974487305, 1000.0 
8.948567867279053, 1000.0 
10.228363037109375, 61.9 
11.498159885406494, 6.35 
12.777955055236816, 2.82 
14.057750225067139, 1.62 
15.337545394897461, 1.06 
16.617340564727783, 0.777 
17.897135972976685, 0.603 
19.176931142807007, 0.486 
20.446727991104126, 0.406 
21.72652316093445, 0.349 
23.00731873512268, 0.301 
24.287113904953003, 0.268 
25.566909074783325, 0.246 
26.836706161499023, 0.226 
28.116501331329346, 0.21 
29.396296501159668, 0.197 
30.67609167098999, 0.183 
31.955886840820312, 0.172 
33.235682010650635, 0.163 
34.505478858947754, 0.155 
35.785274028778076, 0.148 
37.0650691986084, 0.141 
38.3448646068573, 0.135 
39.62465977668762, 0.129 
40.904454946517944, 0.124 
42.174251556396484, 0.12 
43.45404672622681, 0.115 
44.73384189605713, 0.113 
46.01363706588745, 0.111 
47.29343223571777, 0.108 
48.573227405548096, 0.107 
49.843024492263794, 0.104 
51.122819662094116, 0.102 
52.40261483192444, 0.101 
53.68241000175476, 0.0991 
54.96220564842224, 0.0981 
56.24200081825256, 0.0972 
57.51179766654968, 0.0952 
58.791593074798584, 0.0936 
60.071388244628906, 0.092 
61.35118341445923, 0.0916 
62.63097858428955, 0.09 
63.90077543258667, 0.089 
65.18057060241699, 0.0884 
66.46036577224731, 0.0871 
67.74016094207764, 0.0871 
69.01995611190796, 0.0855 
70.29975152015686, 0.0855 
71.57954668998718, 0.0839 
72.8493435382843, 0.0822 
74.12913870811462, 0.0819 
75.40893387794495, 0.0806 
76.68872904777527, 0.0803 
77.96852421760559, 0.0796 
79.23832082748413, 0.0787 
80.51811599731445, 0.0777 
81.79791140556335, 0.0771 
83.07770657539368, 0.0754 
84.357501745224, 0.0751 
85.63729691505432, 0.074 
86.90709376335144, 0.074 
88.18588972091675, 0.0728 
89.46568489074707, 0.0728 
90.74548029899597, 0.0718 
92.0252754688263, 0.0718 
93.30507063865662, 0.0707 
94.58486580848694, 0.0705 
95.85466241836548, 0.0705 
97.1344575881958, 0.0697 
98.41425275802612, 0.0695 
99.69404792785645, 0.0686 
100.97384309768677, 0.0684 
102.23565912246704, 0.0682 
103.51351737976074, 0.0674 
104.81533193588257, 0.0674 
106.08512878417969, 0.067 
107.36492395401001, 0.0664 
108.63472080230713, 0.0664 
109.90401768684387, 0.0655 
111.18431639671326, 0.0653 
112.46036195755005, 0.0653 
113.73890733718872, 0.0645 
115.01745271682739, 0.0643 
116.29474830627441, 0.0643 
117.57329392433167, 0.0643 
118.85183930397034, 0.0643 
120.12938642501831, 0.0632 
121.40668201446533, 0.0632 
122.68522763252258, 0.0632 
123.96377301216125, 0.0624 
125.24206852912903, 0.062 
126.51936411857605, 0.062 
127.79790949821472, 0.0622 
129.07520508766174, 0.0612 
130.35375046730042, 0.061 
131.6322958469391, 0.061 
132.9115936756134, 0.0607 
134.18888926506042, 0.0599 
135.4674346446991, 0.0599 
136.7447304725647, 0.0599 
138.02327585220337, 0.0593 
139.30182123184204, 0.0589 
140.58386611938477, 0.0589 
141.85966181755066, 0.0589 
143.13695740699768, 0.058 
144.416752576828, 0.0578 
145.69404816627502, 0.0578 
146.97134375572205, 0.0576 
148.25113916397095, 0.0576 
149.52843475341797, 0.0574 
150.8082299232483, 0.0566 
152.0855269432068, 0.0568 
153.3628227710724, 0.0568 
154.6426179409027, 0.0568 
155.91991353034973, 0.0555 
157.19720911979675, 0.0555 
