# tiempo [s], press [mBar], Temp [C]
0.0, 2.9, 110.67172661154956 
1.598985195159912, 2.96, 110.93030589083399 
3.1749775409698486, 2.96, 111.19123288978787 
5.438960075378418, 3.02, 111.5314473954875 
7.674942255020142, 3.04, 111.87572703890183 
9.280926942825317, 3.08, 112.12792394715092 
11.198908805847168, 3.11, 112.38234203301687 
12.798893690109253, 3.13, 112.63901827714162 
14.398878574371338, 3.16, 112.8890218468753 
16.00286364555359, 3.19, 113.1412007735006 
17.919845581054688, 3.19, 113.39559083047283 
19.522830486297607, 3.24, 113.64302389658343 
21.12181544303894, 3.25, 113.89258068386738 
22.71980047225952, 3.29, 114.13493396286054 
24.649782180786133, 3.3, 114.37931997205138 
26.248767137527466, 3.31, 114.62577091741531 
27.84375238418579, 3.31, 114.87431975740506 
29.449737071990967, 3.37, 115.11531883857369 
31.36371922492981, 3.37, 115.35831941251055 
32.9657039642334, 3.42, 115.59351210026003 
34.566689014434814, 3.42, 115.84052733325461 
36.16867399215698, 3.43, 116.07963396007978 
38.09465575218201, 3.49, 116.32070246865425 
39.68964076042175, 3.48, 116.5535955389341 
41.28962564468384, 3.52, 116.79859474324545 
42.88961052894592, 3.54, 117.03531246535692 
44.81659197807312, 3.54, 117.27394501301507 
46.4145770072937, 3.6, 117.51452162133461 
48.01656222343445, 3.6, 117.7464850482863 
49.611546993255615, 3.6, 117.98028124850917 
51.53852868080139, 3.65, 118.21593754608486 
53.137513637542725, 3.67, 118.45348186538544 
54.73049879074097, 3.65, 118.6820161745827 
56.337483644485474, 3.7, 118.92333371462034 
58.2554657459259, 3.7, 119.15552348600909 
59.85745072364807, 3.71, 119.38953855496209 
61.45943546295166, 3.77, 119.61413179645247 
63.05342078208923, 3.77, 119.85178909220218 
64.97340250015259, 3.77, 120.07990183314865 
66.57638740539551, 3.82, 120.30976913109478 
68.18037223815918, 3.82, 120.54141643456595 
69.7833571434021, 3.82, 120.77486973580139 
71.69633889198303, 3.85, 120.9983473541883 
73.29532384872437, 3.88, 121.22350208872858 
74.8963086605072, 3.88, 121.45035766533917 
76.49729371070862, 3.88, 121.666864339219 
78.42127561569214, 3.94, 121.88494027848101 
80.02626037597656, 3.94, 122.10460691695381 
81.62824535369873, 3.94, 122.32588611947833 
83.22023034095764, 4.01, 122.54880019337779 
85.14221215248108, 4.01, 122.77337190031815 
86.745197057724, 4.01, 122.99962446855739 
88.34818196296692, 4.01, 123.22758160561165 
89.94716715812683, 4.1, 123.44446141196437 
91.86914896965027, 4.1, 123.66290403372999 
93.46713399887085, 4.1, 123.88293068440849 
95.06911873817444, 4.18, 124.10456300135677 
96.66910362243652, 4.18, 124.3146446528367 
98.59208536148071, 4.2, 124.53945726074376 
100.18907022476196, 4.2, 124.75257242576676 
101.79505515098572, 4.27, 124.96718806615894 
103.39003992080688, 4.27, 125.18332407439533 
105.31102180480957, 4.29, 125.40100073105035 
106.91300678253174, 4.37, 125.62023871481702 
108.51599144935608, 4.37, 125.82721107340143 
110.11497664451599, 4.37, 126.03559193163778 
112.03595852851868, 4.46, 126.25943766051391 
113.63994336128235, 4.46, 126.47078697220435 
115.23992824554443, 4.53, 126.68360119717707 
116.83491325378418, 4.55, 126.89789944650218 
118.75789523124695, 4.55, 127.09926724298185 
120.35788011550903, 4.56, 127.31649016835328 
121.95686507225037, 4.63, 127.52062259255301 
123.56084990501404, 4.65, 127.74084575687078 
125.4748318195343, 4.63, 127.94781466567785 
127.07581686973572, 4.65, 128.15617944343 
128.6848018169403, 4.65, 128.35092637143455 
130.28478693962097, 4.74, 128.56203348760783 
132.1977686882019, 4.74, 128.77458928242567 
133.79975366592407, 4.72, 128.97327602145504 
135.3947389125824, 4.74, 129.17324324741887 
137.003723859787, 4.79, 129.39004239770856 
138.92470574378967, 4.8, 129.59271899985214 
140.52469086647034, 4.8, 129.79672472946615 
142.12467575073242, 4.79, 129.98623157941438 
143.72666096687317, 4.8, 130.1928396482249 
145.65164279937744, 4.84, 130.40082559663585 
147.24262809753418, 4.82, 130.59405053425968 
148.8496129512787, 4.89, 130.80473509305398 
150.45159792900085, 4.89, 131.00048133597602 
152.0445830821991, 4.91, 131.19745976319632 
153.97156500816345, 4.96, 131.39568495290987 
155.56655025482178, 4.99, 131.5951717368324 
157.17153525352478, 4.99, 131.79593520603203 
158.77452039718628, 4.96, 131.98110302933557 
160.69450211524963, 4.98, 132.18435663375004 
162.2964870929718, 5.06, 132.38893247733935 
163.89647221565247, 5.08, 132.5776356863146 
165.49645733833313, 5.08, 132.7674761907651 
167.4154393672943, 5.08, 132.9584668666959 
169.01742434501648, 5.08, 133.15062080430948 
170.61740946769714, 5.08, 133.3439513127168 
172.2193944454193, 5.17, 133.53847192477576 
174.13737654685974, 5.13, 133.7163531549432 
175.7393615245819, 5.17, 133.91318419369395 
177.33434677124023, 5.17, 134.09318916510304 
179.2633285522461, 5.17, 134.29238243427224 
180.86231350898743, 5.18, 134.47455901244706 
182.46529865264893, 5.22, 134.65778697214492 
184.0632836818695, 5.25, 134.842077705056 
185.98326539993286, 5.27, 135.02744278416233 
187.58425068855286, 5.27, 135.55228133872345 
189.18723583221436, 1000.0, 138.1291169844082 
190.78822088241577, 1000.0, 139.57416474329415 
192.71020317077637, 1000.0, 140.31064675052605 
194.30118823051453, 1000.0, 140.7295951995289 
195.90317344665527, 1000.0, 140.9746301642738 
197.50315856933594, 1000.0, 141.17649184750329 
199.42914032936096, 1000.0, 141.33436307940357 
201.0311257839203, 1000.0, 141.47029130288675 
202.63111090660095, 1000.0, 141.60678725738552 
204.23009610176086, 1000.0, 141.72097077107406 
205.83108139038086, 1000.0, 141.85851913344237 
207.75606322288513, 1000.0, 141.9735859687476 
209.34704852104187, 1000.0, 142.1122019775465 
210.9570333957672, 1000.0, 142.22816496749462 
212.55801844596863, 1000.0, 142.36786418573814 
214.47100043296814, 1000.0, 142.48473643750646 
216.0799856185913, 1000.0, 142.6255347618034 
217.67397093772888, 1000.0, 142.76693942100871 
219.2769558429718, 1000.0, 142.86154845817464 
221.19293785095215, 1000.0, 143.00397456707026 
222.7929232120514, 1000.0, 143.123136006492 
224.39990830421448, 1000.0, 143.24273056908825 
225.99589347839355, 1000.0, 143.38681991583428 
227.92187547683716, 1000.0, 143.50737775820332 
229.52486038208008, 1000.0, 143.6283782525294 
231.12084579467773, 1000.0, 143.74982443937267 
232.71883082389832, 1000.0, 143.8961525040796 
234.64281296730042, 1000.0, 144.01859006862912 
236.23979830741882, 1000.0, 144.14148326312687 
237.84078335762024, 1000.0, 144.26483525941103 
239.4407684803009, 1000.0, 144.38864926167008 
241.364750623703, 1000.0, 144.512928506876 
242.96573567390442, 1000.0, 144.6626823286211 
244.56572079658508, 1000.0, 144.78799666686473 
246.17270612716675, 1000.0, 144.91378683188327 
248.0846884250641, 1000.0, 145.04005620326348 
249.69367337226868, 1000.0, 145.1414190224697 
251.28865885734558, 1000.0, 145.26855959442315 
252.892644405365, 1000.0, 145.39618902421947 
254.81262612342834, 1000.0, 145.52431082767583 
256.408611536026, 1000.0, 145.6529285576564 
258.00859665870667, 1000.0, 145.75618222022692 
259.61558198928833, 1000.0, 145.88570169139211 
261.5385639667511, 1000.0, 145.9896814661161 
263.133549451828, 1000.0, 146.12011453511298 
264.73953461647034, 1000.0, 146.25106036576756 
266.33252000808716, 1000.0, 146.3561887508241 
268.2525019645691, 1000.0, 146.48806708035613 
269.85748744010925, 1000.0, 146.59394642095063 
271.4634726047516, 1000.0, 146.72676970299472 
273.05745792388916, 1000.0, 146.83341005912737 
274.9774401187897, 1000.0, 146.9671909916673 
276.57642555236816, 1000.0, 147.07460262133282 
278.17741084098816, 1000.0, 147.2093541530416 
279.7773962020874, 1000.0, 147.31754751738262 
281.69837832450867, 1000.0, 147.42609173158087 
283.29936361312866, 1000.0, 147.58957055247015 
284.90034890174866, 1000.0, 147.67161005167196 
286.5013339519501, 1000.0, 147.7813093097101 
288.42531633377075, 1000.0, 147.89136858517938 
290.02631521224976, 1000.0, 148.00179008594517 
291.6283152103424, 1000.0, 148.11257603969617 
293.23231506347656, 1000.0, 148.22372869418112 
295.14731526374817, 1000.0, 148.335250317444 
296.74531531333923, 1000.0, 148.44714319806826 
298.3523151874542, 1000.0, 148.55940964542077 
299.9533152580261, 1000.0, 148.67205198989947 
301.87331533432007, 1000.0, 148.7850725831878 
303.4703152179718, 1000.0, 148.89847379851028 
305.07031512260437, 1000.0, 149.01225803089122 
306.6743152141571, 1000.0, 149.1264276974204 
308.5953152179718, 1000.0, 149.24098523751982 
310.1913151741028, 1000.0, 149.3559331132171 
311.79831528663635, 1000.0, 149.47127380941967 
313.39731526374817, 1000.0, 149.55803862790853 
315.3163151741028, 1000.0, 149.67407280912724 
316.91831517219543, 1000.0, 149.79050676462768 
318.51931524276733, 1000.0, 149.87809613018226 
320.1123151779175, 1000.0, 149.99523589711495 
322.036315202713, 1000.0, 150.11278257327606 
323.6373152732849, 1000.0, 150.2012112021579 
325.2353150844574, 1000.0, 150.31947633863177 
326.8383152484894, 1000.0, 150.4381557067023 
328.7533152103424, 1000.0, 150.52743870175124 
330.3603150844574, 1000.0, 150.616957379174 
331.9613153934479, 1000.0, 150.7366842411868 
333.56331515312195, 1000.0, 150.82675737487114 
335.4813153743744, 1000.0, 150.94722778133954 
337.08731508255005, 1000.0, 151.03786180121193 
338.6893153190613, 1000.0, 151.15908439793637 
340.2903151512146, 1000.0, 151.25028584334783 
342.21031522750854, 1000.0, 151.3417325006137 
343.8053152561188, 1000.0, 151.46404494584561 
345.4063153266907, 1000.0, 151.55606856529235 
347.3273150920868, 1000.0, 151.64834153378771 
348.9323151111603, 1000.0, 151.74086511236118 
350.5293152332306, 1000.0, 151.8646219187298 
352.1263151168823, 1000.0, 151.95773521073545 
353.7313151359558, 1000.0, 152.0511033841471 
355.6523151397705, 1000.0, 152.14472774108685 
357.2523150444031, 1000.0, 152.23860959340925 
358.84831500053406, 1000.0, 152.3641882306945 
360.4533152580261, 1000.0, 152.4586760626182 
362.37331533432007, 1000.0, 152.553425834297 
363.9763150215149, 1000.0, 152.64843890087946 
365.5803151130676, 1000.0, 152.7437166277698 
367.1803150177002, 1000.0, 152.83926039073202 
369.1013152599335, 1000.0, 152.93507157599242 
370.69931507110596, 1000.0, 153.0311515803439 
372.3033151626587, 1000.0, 153.12750181125273 
373.904314994812, 1000.0, 153.22412368696644 
375.82431507110596, 1000.0, 153.32101863662174 
377.4173152446747, 1000.0, 153.38576768819235 
379.01931524276733, 1000.0, 153.48312096686723 
380.6193151473999, 1000.0, 153.58075118459385 
382.54131531715393, 1000.0, 153.67865981138826 
384.143315076828, 1000.0, 153.7768483286834 
385.7443151473999, 1000.0, 153.8753182294438 
387.3453152179718, 1000.0, 153.94112189663463 
389.26931524276733, 1000.0, 154.04006411923228 
390.87031531333923, 1000.0, 154.13929176381671 
392.47131514549255, 1000.0, 154.23880636665965 
394.0663151741028, 1000.0, 154.30530962060084 
395.9923150539398, 1000.0, 154.40530593405728 
397.5863151550293, 1000.0, 154.505593361978 
399.1893153190613, 1000.0, 154.606173485608 
400.79131507873535, 1000.0, 154.67339029663424 
402.71031522750854, 1000.0, 154.77446179450908 
404.3103151321411, 1000.0, 154.842007678506 
405.911315202713, 1000.0, 154.94357503691458 
407.50831508636475, 1000.0, 155.01145300465507 
409.43431520462036, 1000.0, 155.11352076990798 
411.03931522369385, 1000.0, 155.21589098686252 
412.64031505584717, 1000.0, 155.2843066520227 
414.2383153438568, 1000.0, 155.38718467741927 
417.75431513786316, 1000.0, 155.5593309862611 
419.36131525039673, 1000.0, 155.6284300158065 
420.9533152580261, 1000.0, 155.69766724438486 
422.5553152561188, 1000.0, 155.80178333815257 
424.4773151874542, 1000.0, 155.8713683243527 
426.0803151130676, 1000.0, 155.97600849476822 
427.6783151626587, 1000.0, 156.04594450259196 
429.27631521224976, 1000.0, 156.1160218430146 
431.2013154029846, 1000.0, 156.22140401753018 
432.7973153591156, 1000.0, 156.29183702478255 
434.4023151397705, 1000.0, 156.36241324063468 
436.00231528282166, 1000.0, 156.46854726845717 
437.9193150997162, 1000.0, 156.53948388658776 
439.52231526374817, 1000.0, 156.61056562587416 
441.12231516838074, 1000.0, 156.71746154813658 
442.7223153114319, 1000.0, 156.7889085177091 
444.643315076828, 1000.0, 156.86050255849193 
446.2483150959015, 1000.0, 156.93224423466617 
447.8453152179718, 1000.0, 157.0401348072223 
449.4423153400421, 1000.0, 157.11224806098326 
451.36831521987915, 1000.0, 157.18451094983283 
452.9703152179718, 1000.0, 157.25692405237265 
454.5713150501251, 1000.0, 157.3294879504737 
456.16631531715393, 1000.0, 157.40220322930082 
458.08531522750854, 1000.0, 157.51156127462647 
459.68831515312195, 1000.0, 157.58465758720857 
461.29131507873535, 1000.0, 157.6579073548953 
462.89031529426575, 1000.0, 157.73131117798326 
464.8123149871826, 1000.0, 157.80486966020106 
466.3993151187897, 1000.0, 157.8785834087365 
468.0093152523041, 1000.0, 157.9524530342604 
469.6123151779175, 1000.0, 158.02647915095451 
471.53031516075134, 1000.0, 158.10066237653766 
473.1333153247833, 1000.0, 158.17500333229148 
474.7333152294159, 1000.0, 158.24950264308936 
476.3373153209686, 1000.0, 158.32416093742302 
478.2553150653839, 1000.0, 158.39897884742876 
479.85531520843506, 1000.0, 158.4739570089172 
481.4553151130676, 1000.0, 158.5490960614006 
483.06331515312195, 1000.0, 158.5490960614006 
484.9833152294159, 1000.0, 158.5490960614006 
486.58531522750854, 1000.0, 158.5115063836696 
488.1803150177002, 1000.0, 158.5115063836696 
489.7793152332306, 1000.0, 158.5115063836696 
491.69931507110596, 1000.0, 158.4739570089172 
493.293315410614, 1000.0, 158.4739570089172 
494.9003150463104, 1000.0, 158.4739570089172 
496.50431513786316, 1000.0, 158.4739570089172 
498.4283151626587, 1000.0, 158.4739570089172 
500.02231526374817, 1000.0, 158.5115063836696 
501.6263151168823, 1000.0, 158.5115063836696 
503.2243151664734, 1000.0, 158.5115063836696 
505.1483151912689, 1000.0, 158.5115063836696 
506.7493152618408, 1000.0, 158.5115063836696 
508.3513152599335, 1000.0, 158.5115063836696 
509.9483151435852, 1000.0, 158.5490960614006 
511.8653151988983, 1000.0, 158.5490960614006 
513.4663152694702, 1000.0, 158.5490960614006 
515.0683150291443, 1000.0, 158.5490960614006 
516.6763150691986, 1000.0, 158.5490960614006 
518.5913152694702, 1000.0, 158.586726122632 
520.1933152675629, 1000.0, 158.586726122632 
521.7923150062561, 1000.0, 158.586726122632 
523.3963150978088, 1000.0, 158.586726122632 
525.3113150596619, 1000.0, 158.586726122632 
526.9213151931763, 1000.0, 158.62439664812086 
528.5133152008057, 1000.0, 158.62439664812086 
530.1223151683807, 1000.0, 158.62439664812086 
532.0353152751923, 1000.0, 158.62439664812086 
533.643315076828, 1000.0, 158.62439664812086 
