AMP_VRMS, phase 
0.00010088928843291541, -113.064 
9.638501823675711e-05, -112.998 
9.174851907251692e-05, -112.914 
8.634905169137644e-05, -112.596 
8.171255252713625e-05, -112.5 
7.707676046967724e-05, -112.656 
7.238793540362924e-05, -112.464 
6.773828405325898e-05, -112.164 
6.308898625627931e-05, -112.002 
5.911136919074874e-05, -111.678 
5.4567430304165876e-05, -111.51 
5.047109001007408e-05, -111.12 
4.630905949601007e-05, -111.006 
4.216025187875423e-05, -110.43 
3.784018299909502e-05, -109.752 
3.359916865757247e-05, -109.596 
2.96215515920419e-05, -108.372 
2.517625410143455e-05, -108.24 
2.2199617395351662e-05, -107.166 
1.8597403319953032e-05, -104.802 
1.463951453361757e-05, -100.458 
1.082651192674723e-05, -97.062 
7.2638251204169286e-06, -85.908 
4.165318560596536e-06, -69.12 
3.5643980047407723e-06, -11.502 
5.299659258975996e-06, 21.714 
8.274634264123098e-06, 41.646 
1.1769863083528202e-05, 48.594 
1.5008341430684472e-05, 51.81 
1.8455840542359485e-05, 54.006 
2.168102528202945e-05, 55.524 
2.4702139004648973e-05, 57.78 
2.814143567766222e-05, 58.068 
3.1175701586411816e-05, 58.59 
3.4493093050348497e-05, 59.208 
3.758661450736153e-05, 59.724 
4.047436789104927e-05, 59.844 
4.360246686966232e-05, 60.09 
4.654615239974191e-05, 60.888 
4.974665911274847e-05, 60.852 
5.2822078636163116e-05, 61.164 
5.548610343428344e-05, 61.368 
5.890390406114861e-05, 61.308 
6.146235781683778e-05, 61.284 
6.407023833653188e-05, 61.374 
6.681961092314142e-05, 61.524 
6.971061699802263e-05, 61.596 
7.284189795715101e-05, 61.8 
7.506150614329558e-05, 62.124 
7.788003377310516e-05, 62.184 
8.053380552289827e-05, 62.058 
8.312181634204104e-05, 62.394 
8.544678343858241e-05, 62.034 
8.789620132861261e-05, 62.448 
9.062280507686794e-05, 62.418 
9.292797318353608e-05, 62.502 
9.574650081334566e-05, 62.694 
9.817611971350264e-05, 62.442 
0.00010040209186067788, 62.442 
0.00010327365249907646, 62.76 
