# tiempo [s], press [mBar] 
0.0, 0.0245 
1.2803852558135986, 0.0244 
2.567777395248413, 0.0245 
3.809260845184326, 0.0244 
5.088656425476074, 0.0244 
6.388023376464844, 0.0244 
7.6574318408966064, 0.0245 
8.936819791793823, 0.0244 
10.206228017807007, 0.0245 
11.485616207122803, 0.0244 
12.76500415802002, 0.0245 
14.034412622451782, 0.0245 
15.313800573348999, 0.0244 
16.591192960739136, 0.0245 
17.87058115005493, 0.0243 
19.139989376068115, 0.0243 
20.41937756538391, 0.0244 
21.69876527786255, 0.0244 
22.968173503875732, 0.0244 
24.24756169319153, 0.0244 
25.526949644088745, 0.0245 
26.796358108520508, 0.0244 
28.075746059417725, 0.0244 
29.346152544021606, 0.0245 
30.625540733337402, 0.0244 
31.90492844581604, 0.0244 
33.1743369102478, 0.0244 
34.45372486114502, 0.0244 
35.733112812042236, 0.0244 
37.002521276474, 0.0244 
38.281909227371216, 0.0244 
39.56129741668701, 0.0244 
40.830705642700195, 0.0243 
42.11009359359741, 0.0244 
43.379502058029175, 0.0249 
44.65889000892639, 0.0256 
45.93827819824219, 0.0262 
47.20768642425537, 0.0268 
48.48707461357117, 0.0273 
49.76845860481262, 0.0278 
51.037867069244385, 0.0283 
52.3172550201416, 0.0289 
53.586663246154785, 0.0293 
54.86704921722412, 0.0297 
56.14643740653992, 0.0302 
57.4158456325531, 0.0307 
58.6952338218689, 0.0318 
59.97462177276611, 0.0325 
61.245028018951416, 0.0333 
62.52441596984863, 0.034 
63.793824434280396, 0.0341 
65.07321238517761, 0.0346 
66.35260057449341, 0.0349 
67.62200880050659, 0.0354 
68.90339279174805, 0.0356 
70.18278098106384, 0.0362 
71.45218920707703, 0.0366 
72.73157739639282, 0.037 
74.0019838809967, 0.0374 
75.28137159347534, 0.0374 
76.56075978279114, 0.0382 
77.83016800880432, 0.0382 
79.11055421829224, 0.039 
80.38994216918945, 0.039 
81.65935063362122, 0.0396 
82.93873858451843, 0.0404 
84.21114087104797, 0.0404 
85.49052882194519, 0.0409 
86.75993728637695, 0.041 
88.03932523727417, 0.0417 
89.31871342658997, 0.0417 
90.58812165260315, 0.0424 
91.86750984191895, 0.0425 
93.14789581298828, 0.0431 
94.41730403900146, 0.0432 
95.69669198989868, 0.0439 
96.97608017921448, 0.0443 
98.24548840522766, 0.0445 
99.52487659454346, 0.0452 
100.80426454544067, 0.0452 
102.07367300987244, 0.0452 
103.35306096076965, 0.0459 
104.63244891166687, 0.0461 
105.90185737609863, 0.0467 
107.18124532699585, 0.0471 
108.46063327789307, 0.0473 
109.73004174232483, 0.0477 
111.00942969322205, 0.0483 
112.28881764411926, 0.0485 
113.55822610855103, 0.0491 
114.83861207962036, 0.0497 
116.10802054405212, 0.0501 
117.39239859580994, 0.0506 
118.66180682182312, 0.0512 
119.94119501113892, 0.052 
121.22158074378967, 0.0522 
122.49098944664001, 0.0531 
123.77037715911865, 0.0535 
125.039785861969, 0.0535 
126.31917357444763, 0.0545 
127.59856176376343, 0.0545 
128.8679699897766, 0.0555 
130.14835619926453, 0.0555 
131.42774415016174, 0.0566 
132.6971526145935, 0.0568 
133.97654056549072, 0.0576 
135.25592851638794, 0.0576 
136.5253369808197, 0.0587 
137.80472493171692, 0.0589 
139.08411288261414, 0.0597 
140.3535213470459, 0.0599 
141.63290929794312, 0.0607 
142.91229724884033, 0.061 
144.1817057132721, 0.0614 
145.4610936641693, 0.062 
146.7404818534851, 0.0622 
148.0098900794983, 0.063 
149.2892782688141, 0.063 
150.5686662197113, 0.0643 
151.84007048606873, 0.0643 
153.11945867538452, 0.0649 
154.3888669013977, 0.0653 
155.6682550907135, 0.0653 
156.94764280319214, 0.0661 
158.21705150604248, 0.0664 
159.49643921852112, 0.0674 
160.77582716941833, 0.0674 
162.0452356338501, 0.0684 
163.32462358474731, 0.0684 
164.6040117740631, 0.0693 
165.87741422653198, 0.0697 
167.1568021774292, 0.0703 
168.42621064186096, 0.0716 
169.70559859275818, 0.0724 
170.98498630523682, 0.0736 
172.25439500808716, 0.074 
173.5337827205658, 0.0754 
174.8141689300537, 0.0771 
176.08357739448547, 0.0787 
177.3629653453827, 0.0803 
178.63237380981445, 0.0809 
179.91176176071167, 0.0819 
181.192147731781, 0.0835 
182.4615559577942, 0.0835 
183.74094414710999, 0.0852 
185.0203320980072, 0.0855 
186.2917366027832, 0.0871 
187.57112455368042, 0.0884 
188.84053301811218, 0.0887 
190.12091875076294, 0.09 
191.40030694007874, 0.0903 
192.66971516609192, 0.0923 
193.94910335540771, 0.0926 
